Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$78K-$133K (Glassdoor Est.),"Publishers Clearing House (PCH), located in Jericho, NY is looking for a strongData Scientist who is passionate about using the power of algorithms to drive customer engagement and monetization. As a part of our Analytics team, you will be utilizing enormous volumes of data on customers, PCH products, channels, and developing advanced statistical algorithms to solve unique business problems. This is an exciting opportunity to work with big data to build data products backed by algorithms to delight customers and to drive significant advances in PCH Commerce (online and Direct Mail), Search, Online Gaming, and Digital Advertising business.

Responsibilities include but are not limited to:
Work comfortably with multi-terabyte, and billion+ rows data to extract insights and building predictive models to maximize profit
Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data
Perform rigorous model development, evaluation, design hypothesis tests, oversee test execution and result evaluation
Communicate complex analyses in a clear and actionable manner
Desired skills, experience& qualifications:
Masters degree required in Machine Learning, Applied Math, Computer Science, Economics, Statistics, or a related quantitative field
2 to 5 years’ experience in building predictive models using SAS Enterprise Guide (EG) , SAS Enterprise Miner or/and Python
Solid understanding of advanced statistical concepts, especially related to modelling is a must
Experience with publishers and or ad tech companies, experience in media, advertising and marketing vertical is a plus
Knowledge of programmatic advertising and digital acquisition. Experience in building optimization models /algorithms for media spends and maximize CPM
Experience working with enterprise-level digital analytics platform such as Google Analytics is a plus
Experience with cloud platforms AWS or Google Could Platforms (preferred)
Experience with ETL and building data pipelines and familiarity with distributed storage and big data computing technology is a plus
Excellent communication and presentation skills
Publishers Clearing House (PCH), headquartered in Jericho, NY, and with offices in NYC, Portland, ME and Boston, MA, is a leading direct-to-consumer company offering a broad range of products, digital entertainment services to consumers as well as customized solutions for advertisers. Our continued success in today’s new digital publishing environment is built on PCH’s unique, free-to-play, chance-to-win value proposition, which enables individually personalized offers based on the trusted first-party relationship we maintain with millions of consumers and is fueled by the excitement of the Publishers Clearing House brand.

Join our winning team and apply today!

This position is located in Jericho, NY. Candidates must reside in the NY tri-state area

PCH is an Equal Opportunity Employer",3.4,"Publishers Clearing House
3.4","Jericho, NY",501 to 1000 Employees,1953,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD)
Associate Data Scientist,$78K-$133K (Glassdoor Est.),"Job Description

As an Associate Data Scientist, you will apply modern data storage, movement, and transformation architectures and techniques to extract and engineer features from any scale structured or unstructured data in health, IT system, business processes, or external data. You will also access, cleanse, compile, and transform disparate data sets to conduct exploratory and pre-defined analyses using scientifically valid techniques and generate meaningful insights as well as assist with feasibility studies to identify data availability, quality and modeling requirements, and dependencies.

Qualifications

Basic Qualifications
Master’s Degree in Statistics, Computer Science, Analytics, Biostatistics, Applied Mathematics, Software Engineering, Data Science, or related field, or equivalent relevant work experience
At least 1 year of statistical programming and applied programming work experience
At least 1 year Data mining, quantitative analysis, and/or statistical modeling including predictive performance and algorithm optimization work experience
Preferred Qualifications
Experience with relational databases and SQL; NoSQL databases (hBase, Cassandra, MongoDB, Couch DB, Riak) and unstructured data; Spark; Pig and Avro
Experience with agile software development methodologies
Expectations
Willing to travel up to 20% of the time as needed
Must be currently residing in or willing to relocate to the Kansas City metro area",3.9,"Cerner
3.9","North Kansas City, MO",10000+ Employees,1979,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Sr. Data Scientist,$78K-$133K (Glassdoor Est.),"Overview:

Medifast is seeking a full-time Senior Data Scientist to join our team.

The Senior Data Scientist will be responsible for anticipating future business needs, solving real-time business questions, and identifying new applications for complex analysis.

The candidate focus will be using Machine Learning for the following use cases at Medifast:
Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, Natural Language Processing, AB Testing, and Customer Segmentation (Unsupervised Learning).

Responsibilities:
Employ machine learning and statistical modeling to generate new features to feed into our data core. Key Models include: Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, and Customer Segmentation
Use storytelling to bring out the insights derived from machine learning and statistical modeling making the complex easy to follow and digestible
Perform automated market analyses to dynamically react to changing market conditions
Discover new predictive insights in our datasets and design measures that compute new predictive models while using data visualization methodology
Assist the Insights Center Manager in using Data Science to enhance the Insights Roadmap and assist in the selection of Data Science products to help enable and maintain the Data Science stack
Create measures that monitor inputs and performance on a real-time basis to inform the insights council when unexpected changes arise.
Be active in communications with business users and data management resources to collaborate through a project lifecycle as data changes occur
Aid and train end super users to effectively use the Data Science platform
Coordinate with offshore technical resources
Qualifications:
PHD degree or equivalent preferred in Applied Statistics, Mathematics or a related data field
5-8 years related experience
Executing solutions to business problems using advanced statistics, testing methods, data analysis, data mining, predictive modeling, optimization, and machine learning techniques;
Design and run end-to-end experiments with statistical rigor for test and learn, apply appropriate sampling methods and probabilistic simulations to hypothesis testing and parameter estimation including bootstrapping
Perform data exploration and visualization (using Tableau and other visualization tools), apply machine learning and statistical inference to seed hypotheses, identify opportunities, define metrics, provide interpretability to multi-dimensional scoring, regressor and classifier models, and decision tree learning, using novel methods;
Employ statistical programming through, Python, R, Dataiku, and toolkits (Scikit-learn, Pandas, Numpy, Scipy, PySpark, Jupyter Notebook and kernel, Macro) across disparate environments including Linux/Unix command line and shell scripting, virtual and clouds
Execute and automate data preprocessing via relational systems (AWS, Redshift, SQL Server, MySQL, Postgre, and, Oracle), and parallel computing for big data, using analytics engine and cluster computing frameworks: Apache Spark and Hadoop MapReduce, Apache Tez, and Yarn.

#LI-LW1",2.9,"Medifast, Inc.
2.9","Baltimore, MD",501 to 1000 Employees,1980,Company - Public,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD)
Data Scientist,$78K-$133K (Glassdoor Est.),"Job Description:

Our Advanced Data Analytics division in Reston, VA is seeking a talented Data Scientist for R&D projects with large amounts of complex data. As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine learning and data mining problems. Applicants interested in applying only off-the-shelf solutions need not apply. Project teams are small, typically 2-5 people including Data Scientists, Mathematicians, and Software Developers. Each person is involved in the project’s entire process, from concept through design and implementation to demonstration. Our management structure gives you the freedom to create innovative designs and products. The ideal candidate will have experience writing well-documented, maintainable, and extensible software and APIs.

Required Qualifications:
Bachelor’s or Master’s degree in Machine Learning, Data Science, Computer Science, Mathematics, Statistics, or a related field
Significant experience developing and knowledge of best practices for evaluating innovative, scalable anomaly detection, classification, recommendation, and related algorithms
Significant programming experience in Python, Java, Scala, or R
Experience with machine learning software libraries such as scikit-learn and Weka
Understanding of deep learning algorithms and experience with related libraries such as TensorFlow, Torch, and Deeplearning4j a plus
Experience with big data tools such as Apache Spark, Mahout, or Storm a plus
Experience with NLP (Natural Language Processing) a plus
Ability to communicate algorithm design, performance metrics, and data analyses in written and oral reports
US CITIZENSHIP REQUIRED; applicants selected will be subject to a security investigation and will need to meet eligibility requirements for access to classified information

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3,"Metron, Inc.
3.0","Reston, VA",51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD)
Data Scientist,$78K-$133K (Glassdoor Est.),"STRATACACHE provides salable customer experiences, empowering retailers to learn deeply about their customers’ shopping preferences and behaviors, allowing for personalized shopper interaction. Our solutions deliver consumer activation at the point-of-decision, generating new sales opportunities and enhanced retail profitability. With 3 million+ software activations globally, we power the biggest digital networks for the world’s largest brands. Across the STRATACACHE family of complementary digital media/ad tech solution companies, we have the technology, expertise and track record to bring retail innovation that delivers results.

Learn more about the STRATACACHE family at www.stratacache.com.

Data Scientist

Do you love data? Do you enjoy creating statistical models and finding insights that make a difference? Are you interested in the future of retail, commerce, and customer analytics? If so, this is the role for you. In this role you will have the opportunity to work with software engineering, sales, and product organizations to develop innovative, impactful data applications. Your efforts will enhance the overall product quality utilizing many aspects of data science, including various types of modeling that drive toward strategic analytics. You will be focused on the future of the restaurant and retail experience by discovering insights while creating strategic, marketing, retail, customer experience and digital analytics. Your background in statistics, data science, big data, normalization, modeling, quantitative research, and/or analytics consulting will be very beneficial as you take on this exciting position in the company and join our Data Science team. In this role you will also have the opportunity to continue to build and improve the marketing of technology products that are influenced by data, understand human behavior and determine how to influence and impact the retail marketplace with exciting new solutions and insights.

Responsibilities include:

Design, build, and deliver statistical models and related actionable data-focused results to support product and customer requirements and initiatives.
Work closely with engineering, product and sales teams to understand business and technical requirements, translate these into important discovery directives, and follow through to optimize and support the enhancement and growth of Stratacache products.
Establish and make effective use of internal and external datasets to back up and support key strategic, product, and customer decision-making efforts.
Serve as the data science expert on cross-functional teams for large strategic initiatives and education on accessing and utilizing qualified and focused data for decision making.
Analyze, propose, design and successfully deliver data experiments for engineering, product and sales teams to ensure statistical rigor and effectiveness.
Provide expertise and professionalism in handling sensitive, privacy-protected data, including sources, structures, organization, and optimization.
Communicate complex ideas about our product through visual aids like charts and dashboards.
Keep up-to-date with emerging data science and statistical technologies, methods and practices.
Create and/or use existing data models for predictions regarding user behavior.
Communicate ideas, processes, and results to all levels of internal and external clients and teams.
Basic & Preferred Qualifications
Bachelor's degree required in Computer Science, Mathematics, Statistics, Quantitative Analysis, or other technical field related to software development.
Minimum 3 years of related experience working with data science and statistical modeling.
Experience in the QSR, retail or ecommerce industries from a data perspective is required.
Experience with recommendation engines and discovering new and advanced modeling methods i.e. deep neural networks, gradient boosted decision trees, etc.. is required.
Experience with SQL and at least one functional or statistical programming language is required.
Minimum of 3 years of related experience working with R and Python is required.
Minimum of 3 years of related experience working with REST APIs is required.
Experience working with Postgres, Timescale DB and/or other related database technologies is required.
Ability to distill complex statistical concepts and methodology, and articulate insights to cross-functional teams and clients with varying levels of knowledge in this space is required.
Ability to work with distributed and remote teams is required.
Experience with complex query writing is required.
Experience with result-set performance tuning and related data administration is required.
Experience with big data technologies is required.
Experience and understanding of various statistical modeling tools and platforms is required.
Experience in ecommerce, wifi, app messaging, social and other datasets is beneficial.
Experience in machine learning and artificial intelligence methods and practice is beneficial.
Understanding and experience with database technologies is beneficial including Oracle, SQLServer, etc..
Understanding and experience with BI technologies is beneficial: Tableau, Microstrategy, Microsoft, OBI, etc..
Experience with kafka, Go, or Redis is beneficial.
Understanding of data modeling techniques and star schemas is beneficial.
Experience with Hadoop and MapReduce is beneficial.
Experience with ftp, file transfers, data exchange methodologies.
A solid understanding of methodology, data and systems from a broad range of research and analytics providers, including emerging tools and methods is required.
Ability to articulate and tie data to business strategy.
Microsoft Excel and PowerPoint skills
Self-motivated, self-starter with a team-centric focus while working in a fluid environment.
Exceptional communication skills: verbal, written, and presentation.
Experience in the following areas: strategic analytics, marketing analytics, digital analytics, data analytics, statistics, data science, big data, normalization, modeling, quant research, analytics consulting.
Desire and interest to uncover and discover insights using disparate data sources.
Desire and interest in being the “Go To” person for data science.
Dynamic personality and passion for data, analytics, visualizations and storytelling is beneficial for this role.
Keen sense of user interface design, style, aesthetics and effective visual presentation.
Experience with agile development methodologies.
Ability to work effectively in fast-paced, results-oriented work environment.
Ability to handle and adjust to change in requirements and direction.
Positive attitude, attention to detail, and great problem solving skills are important.

STRATACACHE and its family of companies provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, age, disability, genetic information, pregnancy, childbirth or related medical condition, veteran, marital, parental, citizenship, or domestic partner status, or any other status protected by applicable national, federal, state or local law.

While we are excited and appreciate you interest in our opportunities, please keep in mind that we are not able to contact all applicants that have applied.

No vendor/agency solicitation please.",3.6,"STRATACACHE
3.6","Dayton, OH",201 to 500 Employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
"Data Scientist, Machine Learning",$78K-$133K (Glassdoor Est.),"Job Description

At Shipt, we are transforming the grocery shopping experience and giving time back to consumers. Shipt shoppers handpick fresh groceries and household essentials, then deliver them to your door in as little as one hour.

Shipt is growing and we are searching for a Data Scientist, Machine Learning to join our team! At Shipt, we're using machine learning (ML) and analytics to drive our business forward. We're looking for help understanding our data, optimizing our processes, and making predictions to improve our product and customer experience.

The data science team builds data driven solutions using machine learning and modeling techniques. Our solutions include predictive models, clustering, segmentation, complex reporting, and quantitative research. Our ideal candidate will be data-driven, intellectually curious, and a clear communicator with experience building machine learning models.

What You'll Gain
You will get experience working with a cross-disciplinary team shipping real-world products to our customers around the nation. You will also receive hands-on mentorship from your friendly teammates on topics ranging from design to career advice

Your Responsibilities
Develop a thorough understanding of our data and interpret them as they relate to shopper behavior, search performance, profitability, and product development
Build predictive models and optimization routines to capture opportunities and solve problems. Applications include modeling demand in a given market, delivering search recommendations, and optimizing internal processes
Collaborate with other members of the Data Science and engineering teams on ways to approach problems, augment code, and share new techniques
Work with functional team leaders (in Product, Operations, Marketing, etc.) to explain your analysis, findings, and recommendations
Find opportunities for improvement across the business and assist in decision-making across teams
Stay abreast of developments in the field and contribute to its advancement
Requirements
At least 2 years of experience with machine learning, predictive modeling, and/or optimization techniques
High degree of proficiency with one of R or Python
Proficiency with SQL
Experience with a data visualization tool (Tableau, Chartio, Looker, Spotfire, Power BI, etc.)
Experience with cloud computing services or platforms
Comfortable giving verbal presentations and communicating with technologies like Zoom and Slack
Bachelor's degree in a quantitative field or related experience
Nice to Haves
Experience deploying predictive models in a cloud environment
Experience with batch processing framework
Familiarity with AWS, version control, and peer code review systems
Familiarity with on-demand and/or multi-sided marketplaces
Proficiency in both R and Python
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",3.4,"Shipt
3.4","Birmingham, AL",1001 to 5000 Employees,2014,Subsidiary or Business Segment,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable
Data Scientist,$78K-$133K (Glassdoor Est.),"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","Atlanta, GA",201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Science Engineer Full Stack - AI,$78K-$133K (Glassdoor Est.),"Data Science Engineer Full Stack - AI

Overview

Our ideal candidate has AI and development experience combined with a passion for design, user experience, analytics, and customer success.

Responsibilities:
Design and assist in the development of high-quality, scalable, and maintainable data science frameworks
Work with other developers to design and implement data science features in support of established security and acceptance criteria in collaboration with product owners
Work with engineers, designers, and analysts to deliver innovative AI product feature enhancements
Provide on-going development support as needed
Assist in the development of feature and support documentation
Assist the QA team with feature and regression testing for feature acceptance
Interface with the core engineering, product, and DevOps teams as necessary to ensure success of Data Science products from development, design, and infrastructure perspectives
Develop and maintain adherence to product management processes throughout the organization.
Help create compelling user experiences
Create and deliver on project timelines
BryterCX is the leading company in providing a Journey Intelligence SaaS solution to organizations in order to improve their customers experiences by removing friction and optimizing every function and channel. We make the world better by making business experiences better. The BryterCX Journey Management Suite - IRIS - provides organizations with the ability to increase revenue by lowering attrition, decreasing costs by reducing analog channels, and improving the overall experience by matching the right experience to the customer.

Qualifications:
Proficiency designing and implementing multi-tenant services powering data science calculations with such technologies as modern Python in a distributed computing ecosystem
Awareness of tools used in manipulation of large, complex datasets for use in analytic use cases using tools such as Python, Spark, PostgreSQL, Go. In addition, some experience with pyspark, tensorflow, numpy and pandas would be helpful
Knowledge of statistical methods, models and process and how they are applied to data cleaning processing and prediction
Familiarity with UI languages and platforms across all application layers including JavaScript
Experience with continuous integration and deployment on Jenkins
Familiarity with data sets in myriad of formats and storage technologies/databasessuch as HDFS, Avro, CSV, JSON
Ability to work within an iterative software development lifecycle, under Agile development processes
Proficiency with common software engineering best practices, such as pairing, test-driven development (TDD), writing unit and integration tests, and participating in code reviews
Excellent written and verbal communication
Hands-on self starter
Authorization to work for any employer in the US required.

Powered by JazzHR",2.8,"BryterCX
2.8",United States,51 to 200 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Machine Learning Engineer,$78K-$133K (Glassdoor Est.),"POSITION PURPOSE:
This position is responsible for aiding operational areas of the organization leveraging both internal and external data assets to achieve business insights, gain deeper understanding of member needs, and enhance tactical and strategic decision making.
NATURE AND SCOPE:
Collaborates with data science team to extract analytical, behavioral and predictive data sets and data pipelines from ever increasing data resources. Understands progressive statistical, programmatic, and analytical approaches to business hypotheses as it applies to available data. Aids business owners & data science team in the interpretation of source data and associated business data pipelines. Requires a solid understanding of both the technical and business aspects of Data Science and business analytics. Requires full software development life cycle experience within various analytical architectures, including piloting models, architecting underlying data design, and model operationalization. Models will be deployed using agile methodologies to ensure timely and relevant delivery.
Responsible for the design, development, and maintenance of analytical models that will be placed into operation. Will be required to explore internal and external data sources to identify useful structures within the data that were/are previously unknown to the business. Should have a strong understanding of relational and dimensional modeling to facilitate data wrangling, model operationalization, and exploration of data. Responsible for adhering to corporate data governance policy and controls to ensure the accuracy, timeliness and confidentiality of resources under management. Must be able to work with users from all levels of management in developing and implement operational and strategic analytics. The Machine Learning Engineer’s primary focus will be on operationalization of analytical models.

Be the go-to-person for data pipelines to support operational implementation of Data Science and analytical models.
Engineer each solution with serverless technology when possible, with optimized performance.
Execute analytics solution engineering strategy, requirements, and adapt processes as needed.
Perform DevOps and orchestration around supporting data marts and analytical processes.
Monitor and secure usage of data while tracking analytic product performance.
Advise and collaborate in internal partnerships to deliver accurate, available, and accessible API services.
Ensure all security, documentation, governance, and compliance standards are met.
Manage small reporting layer on top of analytical models to ensure accountability and insight into models’ performance and impact.
Identifies potential concerns based on projections of current trends.

Experience developing business analytical solutions in large or midsize companies.
Must be able to manage multiple tasks simultaneously and react to problems quickly.
Contribute to Credit Union culture by keeping a positive attitude and growing relationships
Understanding of the financial services industry desired.
Experience with dashboard design and delivery desired
Must be able to translate concepts and directions into practical solutions.
Must have development experience with various data management technology; NoSQL; relational database; message broker; multi-dimensional database; and design architecture.
Understand data collection, streaming, preparation, analysis, visualization, modeling, algorithm integration, evaluation, optimization within an implementation context.
Must have advanced SQL abilities, experience with both Oracle and Microsoft desired.
Must have advanced programming experience with Python
Must have experience with Linux.
Experience with Anaconda; RabitMQ; Jupyter Notebook; Tableau desired
EXPERIENCE:
3+ years of experience in designing, developing and implementing Data Science solutions.
EDUCATION:
Bachelor of Science degree in information technology, computer science, statistics, or related business degree with equivalent experience of 3 years.
Master of Science in information technology, computer science, statistics, or related degree.",3.9,"America First Credit Union
3.9","Ogden, UT",1001 to 5000 Employees,1939,Nonprofit Organization,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
Data Scientist,$78K-$133K (Glassdoor Est.),"Job Title: Data Scientists

Job Description
Join an elite group dedicated to continuous personal improvement as GCT is currently seeking Data Scientists of all levels to support an intelligence agency with insights gained from analyzing voluminous sensor data. The ideal candidate is adept at using large data sets to find opportunities for process optimization and using models to test the effectiveness of different courses of action. Candidates must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Clearance: TS/SCI w/Full scope polygraph (or used within the past 24 months)

Education/Experience Requirements

Senior Positions:
Masters degree in Data Science, Statistics, Mathematics, Computer Science or another quantitative field, or extensive comparable experience
10+ years of relevant experience
Junior/Intermediate Positions
Completed B.S. in Data Science, Mathematics, Statistics, Computer Science, Computer Engineering, or a closely related technical field
3-9 years of relevant experience
Qualifications
Experience using statistical computer languages (SAS, SPSS, R, Python, SLQ, etc.) to manipulate data and draw insights fromlarge data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Excellent written and verbal communication skills
Strong problem solving skills
A drive to learn and master new technologies and techniques
Desired Skills
Experience manipulating data sets and building statistical models
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, Bayes, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, AWS, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
The success of Great-Circle Technologies depends on the success and well-being of its employees. GCT promotes work/life balance and encourages the overall well-being of each of its contributors. A comprehensive benefits package is provided, which currently includes company paid single medical, dental, life, disability, and long-term care insurances (with contributions to family premiums,) matching 401k plan, 34 days off per year including 10 Federal holidays plus the day after Thanksgiving, Christmas and New Year’s eves!

Join us at Great-Circle Technologies, where innovation is the shortest distance between two points.

Great-Circle Technologies is an Equal Opportunity Employer. Great-Circle Technologies ensures all qualified applicants will receive consideration for employment without regard to gender, race, ethnic background, religion, disability, sexual orientation, gender identity, national origin, age, or protected veteran status.",2.2,"Great-Circle Technologies
2.2","Chantilly, VA",1 to 50 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
