City,Remote,Founded,Rating,SalaryMin,SalaryMax,Salary Estimate,Hourly,Junior,Senior,part-time,temp,Rank,Cost of Living Index,Local Purchasing Power Index,City
Aberdeen,0.0,1944.0,3.5,86.0,143.0,,0.0,1.0,,0.0,0.0,22.0,74.29,125.24,Aberdeen
Addison,0.15,1987.0,3.7388888888888894,62.0,124.4,77.5,0.0,1.0,1.0,0.0,0.05,40.0,68.02999999999999,155.30000000000004,Addison
Adelphi,0.0,2013.0,4.2,88.0,133.0,,0.0,,,0.0,0.0,6.0,87.74,130.25,Adelphi
Agoura Hills,0.0,2008.0,3.45,97.0,150.0,,0.0,,,0.0,0.0,19.0,76.55,113.78,Agoura Hills
Air Force Academy,1.0,,,,,,0.0,0.0,0.0,1.0,0.0,34.0,70.97,112.61,Air Force Academy
Akron,0.0,1947.0,3.6,99.4,151.6,,0.0,1.0,1.0,0.0,0.0,,,,Akron
Alachua,0.0,1984.0,3.3,30.0,54.0,,0.0,,,0.0,1.0,,,,Alachua
Alachua County,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,Alachua County
Alameda,0.0,1997.0,3.8499999999999996,78.0,113.5,,0.0,,1.0,0.0,0.5,7.0,86.51,113.6,Alameda
Albany,0.0,1996.0,3.8333333333333335,139.0,229.0,,0.0,,1.0,0.0,0.0,20.0,75.44000000000001,105.08000000000001,Albany
Alexandria,0.1111111111111111,1978.2222222222222,4.155555555555555,82.33333333333333,116.11111111111111,,0.0,,1.0,0.0,0.0,6.0,87.74,130.25,Alexandria
Alhambra,0.0,1961.75,3.15,50.0,63.0,97.125,0.0,,1.0,0.0,0.0,19.0,76.55,113.77999999999999,Alhambra
Aliso Viejo,0.2,1997.2,3.2,97.6,133.8,,0.0,,1.0,0.0,0.0,19.0,76.55,113.78,Aliso Viejo
Allegheny West,0.0,,3.8,43.5,68.5,,0.0,,1.0,0.0,0.0,,,,Allegheny West
Allen,0.25,1976.2222222222222,3.7400000000000007,54.666666666666664,100.55555555555556,59.0,0.0,1.0,1.0,0.0,0.0,40.0,68.02999999999999,155.29999999999998,Allen
Allen Park,0.0,2017.0,3.5,46.0,79.0,,0.0,,,0.0,0.0,54.0,63.85,78.58,Allen Park
Alpharetta,0.0,,3.2,81.0,102.0,,0.0,,,0.0,0.0,26.0,73.89,140.47,Alpharetta
Alpine,0.0,1980.0,2.8,,,46.0,0.0,,,0.0,0.0,23.0,74.22,130.19,Alpine
Alsip,0.0,1919.0,3.8,,,58.5,0.0,,1.0,0.0,0.0,11.0,80.18,113.52,Alsip
Alto,0.0,,4.5,,,,0.0,,,0.0,0.0,,,,Alto
Alvin,0.0,1985.0,2.9,90.0,175.0,,0.0,,,0.0,0.0,,,,Alvin
Alviso,0.0,,2.9,,,124.0,0.0,,,0.0,0.0,14.0,78.64,143.48,Alviso
Alviso Ridge,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,Alviso Ridge
